epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.92402,2.08404,3.60153,0.97842,0,0,0,0,1.91471,3.61301,0.90246,0,0,0
2,8.56329,2.37043,3.58879,1.00067,0,0,0,0,1.90884,3.61101,0.9021,1.9934e-05,1.9934e-05,1.9934e-05
3,9.07023,2.21236,3.5655,0.95747,0,0,0,0,1.90293,3.6114,0.90052,3.9736e-05,3.9736e-05,3.9736e-05
4,9.63848,2.75364,3.67239,0.99476,0,0,0,0,1.89046,3.6074,0.89973,5.9406e-05,5.9406e-05,5.9406e-05
5,10.0748,2.20244,3.5643,0.9471,0,0,0,0,1.88871,3.60688,0.89874,7.8944e-05,7.8944e-05,7.8944e-05
6,10.7562,2.38024,3.62359,0.99951,0.03111,0.06651,0.01701,0.00716,1.80024,3.51835,0.8484,9.835e-05,9.835e-05,9.835e-05
7,11.3672,2.41835,3.47234,1.04228,0.06444,0.13777,0.03809,0.01529,1.90462,3.49712,0.83688,0.000117624,0.000117624,0.000117624
8,11.9658,1.85053,3.4084,0.90016,0.07556,0.16152,0.04623,0.01614,2.02835,3.49737,0.84379,0.000136766,0.000136766,0.000136766
9,12.5389,2.33782,3.27917,0.93649,0.02778,0.05938,0.01499,0.00509,2.10746,3.53956,0.84633,0.000155776,0.000155776,0.000155776
10,13.0948,2.37437,3.17184,0.92641,0.03111,0.06651,0.01696,0.00552,2.21247,3.54981,0.85152,0.000174654,0.000174654,0.000174654
11,13.8679,2.21729,3.03239,0.88477,0.05889,0.12589,0.03455,0.01086,2.18598,3.51402,0.85058,0.0001934,0.0001934,0.0001934
12,14.4793,2.28529,2.99635,0.901,0.09444,0.2019,0.06041,0.02153,2.12868,3.46217,0.85262,0.000212014,0.000212014,0.000212014
13,15.0631,2.37155,2.93907,0.90328,0.10111,0.21615,0.06528,0.02036,2.21516,3.46388,0.85714,0.000230496,0.000230496,0.000230496
14,15.6141,2.1527,2.77186,0.87259,0.10556,0.22565,0.06899,0.02139,2.19555,3.46563,0.85504,0.000248846,0.000248846,0.000248846
15,16.2255,2.2984,2.78874,0.88218,0.11778,0.25178,0.07869,0.02219,2.18407,3.47201,0.8526,0.000267064,0.000267064,0.000267064
16,16.9302,2.29082,2.64101,0.86255,0.12222,0.26128,0.08253,0.02511,2.1221,3.47119,0.84662,0.00028515,0.00028515,0.00028515
17,17.7929,2.3439,2.57566,0.87467,0.15778,0.33729,0.11363,0.04255,1.89879,3.43425,0.83079,0.000303104,0.000303104,0.000303104
18,18.3445,2.08198,2.50874,0.86477,0.15778,0.33729,0.11363,0.04255,1.89879,3.43425,0.83079,0.000320926,0.000320926,0.000320926
19,18.9303,2.6403,2.60353,0.86719,0.15222,0.32542,0.10762,0.0407,1.77826,3.42843,0.82213,0.000338616,0.000338616,0.000338616
20,19.6284,2.6164,2.58199,0.89165,0.15222,0.32542,0.10762,0.0407,1.77826,3.42843,0.82213,0.000356174,0.000356174,0.000356174
21,20.2792,2.45414,2.57486,0.88049,0.16333,0.34917,0.11743,0.04378,1.73711,3.41643,0.82286,0.0003736,0.0003736,0.0003736
22,20.8287,2.24688,2.21863,0.85901,0.16333,0.34917,0.11743,0.04378,1.73711,3.41643,0.82286,0.000390894,0.000390894,0.000390894
23,21.4101,2.27371,2.17579,0.84994,0.16667,0.35629,0.12033,0.04427,1.76768,3.39935,0.82682,0.000408056,0.000408056,0.000408056
24,22.0181,2.29344,2.18115,0.85903,0.16667,0.35629,0.12033,0.04427,1.76768,3.39935,0.82682,0.000425086,0.000425086,0.000425086
25,22.6075,2.18118,2.23592,0.85934,0.15111,0.32304,0.1043,0.03163,1.91578,3.40489,0.83634,0.000441984,0.000441984,0.000441984
26,23.2771,2.26594,2.03589,0.86347,0.15111,0.32304,0.1043,0.03163,1.91578,3.40489,0.83634,0.00045875,0.00045875,0.00045875
27,23.9393,2.3076,2.15625,0.88097,0.15333,0.32779,0.10574,0.03485,2.21971,3.35617,0.8575,0.000475384,0.000475384,0.000475384
28,24.4686,2.26886,1.94116,0.89401,0.15333,0.32779,0.10574,0.03485,2.21971,3.35617,0.8575,0.000491886,0.000491886,0.000491886
29,25.1966,2.81375,2.21247,0.92555,0.16333,0.34917,0.1143,0.04011,2.24014,3.31083,0.86132,0.000508256,0.000508256,0.000508256
30,25.7796,2.66666,1.99641,0.89457,0.16333,0.34917,0.1143,0.04011,2.24014,3.31083,0.86132,0.000524494,0.000524494,0.000524494
31,26.5206,2.55006,1.92176,0.8835,0.14667,0.31354,0.09754,0.0341,2.02598,3.3098,0.84579,0.0005406,0.0005406,0.0005406
32,27.0911,2.1705,1.85147,0.85902,0.14667,0.31354,0.09754,0.0341,2.02598,3.3098,0.84579,0.000556574,0.000556574,0.000556574
33,27.7028,2.27611,1.78034,0.87393,0.11889,0.25416,0.07489,0.02418,1.87005,3.32198,0.83114,0.000572416,0.000572416,0.000572416
34,28.2319,2.27076,1.61942,0.87035,0.11889,0.25416,0.07489,0.02418,1.87005,3.32198,0.83114,0.000588126,0.000588126,0.000588126
35,28.8182,2.18687,1.64649,0.86966,0.11111,0.23753,0.06887,0.02054,2.00316,3.28524,0.84125,0.000603704,0.000603704,0.000603704
36,29.5576,2.27523,1.62884,0.8657,0.11111,0.23753,0.06887,0.02054,2.00316,3.28524,0.84125,0.00061915,0.00061915,0.00061915
37,30.1605,2.04255,1.4991,0.8467,0.11778,0.25178,0.07375,0.02398,2.18947,3.22281,0.859,0.000634464,0.000634464,0.000634464
38,30.7198,2.40395,1.49959,0.85711,0.11778,0.25178,0.07375,0.02398,2.18947,3.22281,0.859,0.000649646,0.000649646,0.000649646
39,31.4511,2.36151,1.58059,0.90379,0.12222,0.26128,0.07711,0.02712,1.94384,3.19533,0.83759,0.000664696,0.000664696,0.000664696
40,32.0388,2.47319,1.50022,0.84314,0.12222,0.26128,0.07711,0.02712,1.94384,3.19533,0.83759,0.000679614,0.000679614,0.000679614
