epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,27.81,2.47556,1.32263,0.89979,0.40778,0.86967,0.75544,0.39275,1.75524,1.97593,0.84082,0.000770146,0.000770146,0.000770146
44,28.2977,2.57108,1.25515,0.89961,0.40778,0.86967,0.75544,0.39275,1.75524,1.97593,0.84082,0.00078678,0.00078678,0.00078678
45,28.896,2.03902,1.24768,0.87476,0.41556,0.88626,0.76104,0.39145,1.76494,1.9201,0.83964,0.000803334,0.000803334,0.000803334
46,29.3289,2.24743,1.18967,0.85846,0.41556,0.88626,0.76104,0.39145,1.76494,1.9201,0.83964,0.00081981,0.00081981,0.00081981
47,29.8455,2.18701,1.14962,0.86691,0.41556,0.88626,0.77087,0.34704,1.91573,1.90463,0.84889,0.000836206,0.000836206,0.000836206
48,30.2726,2.16095,1.18679,0.8699,0.41556,0.88626,0.77087,0.34704,1.91573,1.90463,0.84889,0.000852524,0.000852524,0.000852524
49,30.6997,2.1568,1.16831,0.84336,0.41889,0.89336,0.77431,0.34445,1.88968,1.89042,0.8477,0.000868762,0.000868762,0.000868762
50,31.3152,2.27843,1.19478,0.85234,0.41889,0.89336,0.77431,0.34445,1.88968,1.89042,0.8477,0.00088492,0.00088492,0.00088492
51,31.7833,2.02463,1.12761,0.84464,0.41889,0.89336,0.75403,0.36188,1.79063,1.87863,0.84001,0.000901,0.000901,0.000901
52,32.1706,2.3857,1.22149,0.88241,0.41889,0.89336,0.75403,0.36188,1.79063,1.87863,0.84001,0.000917,0.000917,0.000917
53,32.5875,2.11521,1.07422,0.88645,0.41889,0.89336,0.75403,0.36188,1.79063,1.87863,0.84001,0.000932922,0.000932922,0.000932922
54,33.0336,2.10942,1.11469,0.86193,0.42444,0.90521,0.73342,0.37262,1.70794,1.84647,0.83634,0.000948764,0.000948764,0.000948764
55,33.4448,1.90013,1.0819,0.85557,0.42444,0.90521,0.73342,0.37262,1.70794,1.84647,0.83634,0.000964526,0.000964526,0.000964526
56,33.816,2.04889,1.13203,0.87102,0.42444,0.90521,0.73342,0.37262,1.70794,1.84647,0.83634,0.00098021,0.00098021,0.00098021
57,34.2212,2.02869,1.09431,0.8853,0.42556,0.90758,0.79838,0.35086,1.92465,1.72775,0.84975,0.000995814,0.000995814,0.000995814
58,34.6467,2.20946,1.12985,0.87636,0.42556,0.90758,0.79838,0.35086,1.92465,1.72775,0.84975,0.00101134,0.00101134,0.00101134
59,35.0393,2.14074,1.06923,0.85507,0.42556,0.90758,0.79838,0.35086,1.92465,1.72775,0.84975,0.00102679,0.00102679,0.00102679
60,35.537,1.9359,1.0492,0.85922,0.45091,0.89336,0.78567,0.31359,2.11364,1.65097,0.86333,0.00104215,0.00104215,0.00104215
61,36.017,2.13913,1.20467,0.87556,0.45091,0.89336,0.78567,0.31359,2.11364,1.65097,0.86333,0.00105744,0.00105744,0.00105744
62,36.543,2.43818,1.22084,0.84935,0.45091,0.89336,0.78567,0.31359,2.11364,1.65097,0.86333,0.00107265,0.00107265,0.00107265
63,37.0547,2.41816,1.20676,0.90251,0.42111,0.8981,0.79965,0.33845,1.97977,1.69704,0.85472,0.00108778,0.00108778,0.00108778
64,37.4568,1.77398,1.10638,0.83795,0.42111,0.8981,0.79965,0.33845,1.97977,1.69704,0.85472,0.00110283,0.00110283,0.00110283
65,37.8813,2.2595,1.16677,0.84576,0.42111,0.8981,0.79965,0.33845,1.97977,1.69704,0.85472,0.0011178,0.0011178,0.0011178
66,38.306,1.80047,1.04718,0.84563,0.42889,0.91469,0.81293,0.41271,1.73302,1.7701,0.84006,0.00113269,0.00113269,0.00113269
67,38.8217,1.95641,1.124,0.82914,0.42889,0.91469,0.81293,0.41271,1.73302,1.7701,0.84006,0.0011475,0.0011475,0.0011475
68,39.3151,2.38219,1.14431,0.84087,0.42889,0.91469,0.81293,0.41271,1.73302,1.7701,0.84006,0.00116224,0.00116224,0.00116224
69,39.8082,2.20822,1.20696,0.90585,0.42111,0.8981,0.78358,0.39837,1.69755,1.81882,0.83877,0.00117689,0.00117689,0.00117689
70,40.2029,2.36861,1.24603,0.87879,0.42111,0.8981,0.78358,0.39837,1.69755,1.81882,0.83877,0.00119146,0.00119146,0.00119146
